a52dec 0.7.4-11
aalib 1.4rc5-14
abseil-cpp 20211102.0-2
accounts-qml-module 0.7-4
acl 2.3.1-2
adapta-gtk-theme 3.95.0.11-2
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adobe-source-sans-fonts 3.046-1
adwaita-icon-theme 42.0+r1+gc144c3d75-1
alacritty 0.10.1-2
alsa-card-profiles 1:0.3.53-2
alsa-lib 1.2.7.1-1
alsa-plugins 1:1.2.7.1-1
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.7.1-1
aom 3.4.0-1
appimagelauncher 2.2.0-6
appstream-glib 0.7.18-2
arc-gtk-theme 20220405-1
arc-icon-theme 20161122-3
archlinux-keyring 20220424-1
argon2 20190702-4
aria2 1.36.0-1
at-spi2-atk 2.38.0-1
at-spi2-core 2.44.1-1
atk 2.38.0-1
attica 5.95.0-1
attr 2.5.1-2
audacious 4.1-3
audacious-plugins 4.1-6
audit 3.0.8-1
augeas 1.12.0-2
autoconf 2.71-1
automake 1.16.5-1
avahi 0.8+22+gfd482a7-3
babl 0.1.90-2
base 2-2
bash 5.1.016-1
bat 0.21.0-1
binutils 2.38-6
bison 3.8.2-4
blas 3.10.1-1
bluedevil 1:5.25.2-1
bluez 5.64-2
bluez-libs 5.64-2
bluez-qt 5.95.0-1
bluez-utils 5.64-2
boost-libs 1.79.0-1
botan 2.19.2-1
box2d 2.4.1-1
brave-bin 1:1.40.107-1
breeze-icons 5.95.0-1
bridge-utils 1.7.1-1
brotli 1.0.9-8
btrfs-progs 5.18.1-1
bubblewrap 0.6.2-1
bzip2 1.0.8-4
c-ares 1.18.1-1
ca-certificates 20210603-1
ca-certificates-mozilla 3.80-1
ca-certificates-utils 20210603-1
cairo 1.17.6-2
calibre 5.44.0-1
cantarell-fonts 1:0.303.1-1
cdparanoia 10.2-8
cheese 41.1-2
chmlib 0.40-6
chromaprint 1.5.1-3
chromium 103.0.5060.114-1
cifs-utils 6.15-1
clipmenu 6.2.0-2
clipnotify 1.0.2-2
clucene 2.3.3.4-12
clutter 1.26.4-2
clutter-gst 3.0.27-4
clutter-gtk 1.8.4-3
cogl 1.22.8-2
